codiciSensori;nomiSensori;nomeStaz;codeStaz
65335;Pioggia 6h;Pomarico frana;858200
65336;Pioggia 12h;Pomarico frana;858200
65337;Pioggia 24h;Pomarico frana;858200
12697;Temperatura Aria;Potenza;83800
12698;Pioggia Cumulata;Potenza;83800
15672;Pioggia 1h;Potenza;83800
15673;Pioggia 3h;Potenza;83800
15674;Pioggia 6h;Potenza;83800
15675;Pioggia 12h;Potenza;83800
15676;Pioggia 24h;Potenza;83800
17347;Pressione Atmosferica;Potenza;83800
48437;T Minima Notte;Potenza;83800
48438;T Massima Giornata;Potenza;83800
48439;T Minima Giornata;Potenza;83800
26892;Pioggia Cumulata;Potenza Q.A.;387900
26893;Livello Idrometrico;Potenza Q.A.;387900
26899;Temperatura Aria;Potenza Q.A.;387900
26900;Umidità Relativa;Potenza Q.A.;387900
27095;Temperatura Acqua;Potenza Q.A.;387900
27096;Conducibilità;Potenza Q.A.;387900
27097;Salinità dell'Acqua;Potenza Q.A.;387900
27098;Solidi Sospesi nell'Acqua;Potenza Q.A.;387900
27099;Resistività dell'Acqua;Potenza Q.A.;387900
46500;Pioggia 1h;Potenza Q.A.;387900
46501;Pioggia 3h;Potenza Q.A.;387900
46502;Pioggia 6h;Potenza Q.A.;387900
46503;Pioggia 12h;Potenza Q.A.;387900
46504;Pioggia 24h;Potenza Q.A.;387900
39249;Incrementi di Pioggia;Ripacandida;533300
51023;Pioggia 1h;Ripacandida;533300
51024;Pioggia 3h;Ripacandida;533300
51025;Pioggia 6h;Ripacandida;533300
51026;Pioggia 12h;Ripacandida;533300
51027;Pioggia 24h;Ripacandida;533300
57251;Temperatura Aria;Ripacandida;533300
22683;Pioggia Cumulata;Roccanova;332500
22684;Temperatura Aria;Roccanova;332500
46495;Pioggia 1h;Roccanova;332500
46496;Pioggia 3h;Roccanova;332500
46497;Pioggia 6h;Roccanova;332500
46498;Pioggia 12h;Roccanova;332500
46499;Pioggia 24h;Roccanova;332500
53005;Intensità Pioggia;Rotonda;699100
53006;Pioggia Cumulata;Rotonda;699100
53007;Temperatura Aria;Rotonda;699100
53008;Umidità relativa;Rotonda;699100
53517;Pioggia 1h;Rotonda;699100
53518;Pioggia 3h;Rotonda;699100
53519;Pioggia 6h;Rotonda;699100
53520;Pioggia 12h;Rotonda;699100
53521;Pioggia 24h;Rotonda;699100
35683;Livello Idrometrico;S.Demetrio;481100
39307;Incrementi di Pioggia;S.Fele;538100
39308;Temperatura Aria;S.Fele;538100
51028;Pioggia 1h;S.Fele;538100
51029;Pioggia 3h;S.Fele;538100
51030;Pioggia 6h;S.Fele;538100
51031;Pioggia 12h;S.Fele;538100
51032;Pioggia 24h;S.Fele;538100
12715;Idrometro Bradano;S.Giuliano;179700
21846;Pioggia Cumulata;S.Giuliano;179700
46425;Pioggia 1h;S.Giuliano;179700
46426;Pioggia 3h;S.Giuliano;179700
46427;Pioggia 6h;S.Giuliano;179700
46428;Pioggia 12h;S.Giuliano;179700
46429;Pioggia 24h;S.Giuliano;179700
29747;Pioggia Cumulata;S.Mauro Forte;417800
29750;Temperatura Aria;S.Mauro Forte;417800
29751;Radiazione Solare Diretta;S.Mauro Forte;417800
29752;Umidità Relativa;S.Mauro Forte;417800
29755;Radiazione Solare Riflessa;S.Mauro Forte;417800
46505;Pioggia 1h;S.Mauro Forte;417800
46506;Pioggia 3h;S.Mauro Forte;417800
46507;Pioggia 6h;S.Mauro Forte;417800
46508;Pioggia 12h;S.Mauro Forte;417800
46509;Pioggia 24h;S.Mauro Forte;417800
12700;Livello Neve;S.Nicola;83900
12701;Temperatura Aria;S.Nicola;83900
12702;Pioggia Cumulata;S.Nicola;83900
15703;Pioggia 1h;S.Nicola;83900
15704;Pioggia 3h;S.Nicola;83900
15705;Pioggia 6h;S.Nicola;83900
15706;Pioggia 12h;S.Nicola;83900
15707;Pioggia 24h;S.Nicola;83900
52997;Intensità Pioggia;Salandra;699000
52998;Pioggia Cumulata;Salandra;699000
52999;Temperatura Aria;Salandra;699000
53000;Umidità relativa;Salandra;699000
53497;Pioggia 1h;Salandra;699000
53498;Pioggia 3h;Salandra;699000
53499;Pioggia 6h;Salandra;699000
53500;Pioggia 12h;Salandra;699000
53501;Pioggia 24h;Salandra;699000
15326;Livello Idrometrico;Sinni SS106;203900
21847;Pioggia Cumulata;Sinni SS106;203900
46435;Pioggia 1h;Sinni SS106;203900
46436;Pioggia 3h;Sinni SS106;203900
46437;Pioggia 6h;Sinni SS106;203900
46438;Pioggia 12h;Sinni SS106;203900
46439;Pioggia 24h;Sinni SS106;203900
50086;Livello Idrometrico;Sinni a Valsinni;653000
50087;Pioggia Cumulata;Sinni a Valsinni;653000
50132;Intensità di Pioggia;Sinni a Valsinni;653000
50218;Pioggia 1h;Sinni a Valsinni;653000
50219;Pioggia 3h;Sinni a Valsinni;653000
50220;Pioggia 6h;Sinni a Valsinni;653000
50221;Pioggia 12h;Sinni a Valsinni;653000
50222;Pioggia 24h;Sinni a Valsinni;653000
15753;Pioggia 1h;Stigliano;54800
15754;Pioggia 3h;Stigliano;54800
15755;Pioggia 6h;Stigliano;54800
15756;Pioggia 12h;Stigliano;54800
15757;Pioggia 24h;Stigliano;54800
53021;Intensità Pioggia;Stigliano;54800
53022;Pioggia Cumulata;Stigliano;54800
53023;Temperatura Aria;Stigliano;54800
53024;Umidità relativa;Stigliano;54800
53025;Livello Neve;Stigliano;54800
17317;Pioggia Cumulata;Terra Montonata;233200
17318;Livello Freatico;Terra Montonata;233200
